activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
06-A001,06-C001,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-01-04,,1
06-A002,06-C001,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S13_S14:WB,4,2027-01-11,,2
06-A003,06-C001,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2027-01-18,,3
06-A004,06-C001,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,2,2027-01-25,,1
06-A005,06-C001,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-02-01,06-A001,2
06-A006,06-C002,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,2,2027-01-18,,2
06-A007,06-C002,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,1,2027-01-25,,3
06-A008,06-C002,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,4,2027-02-01,,1
06-A009,06-C002,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S01_S02:WB,3,2027-02-08,,2
06-A010,06-C002,Construction,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,2,2027-02-15,06-A006,3
06-A011,06-C003,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S05_S06:WB,3,2027-02-01,,3
06-A012,06-C003,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,2,2027-02-08,,1
06-A013,06-C003,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:S02_S03:WB,1,2027-02-15,,2
06-A014,06-C003,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,4,2027-02-22,,3
06-A015,06-C003,Construction,SEC:ALP:H02_S05:WB,SEC:ALP:H02_S05:WB,3,2027-01-04,06-A011,1
06-A016,06-C004,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,4,2027-02-15,,1
06-A017,06-C004,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-02-22,,2
06-A018,06-C004,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-01-04,,3
06-A019,06-C004,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S05_S06:EB,1,2027-01-11,,1
06-A020,06-C004,Renewal,SEC:BET:S17_S18:WB,SEC:BET:S17_S18:WB,4,2027-01-18,06-A016,2
06-A021,06-C005,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,1,2027-01-04,,2
06-A022,06-C005,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,4,2027-01-11,,3
06-A023,06-C005,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,3,2027-01-18,,1
06-A024,06-C005,Construction,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-01-25,,2
06-A025,06-C005,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2027-02-01,06-A021,3
06-A026,06-C006,Construction,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,2,2027-01-18,,3
06-A027,06-C006,Construction,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-01-25,,1
